الأسم,الموديل,السعر,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات,طرف ثالث,التكميلي (جسم المركبة),المجموع,الدفع
كيا اوبتيما,2014,100000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,75000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1751,3090,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
كيا سورينتو,2007,60000.0,سكني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2500,130000,7+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1050,2740,
هونداي افانتي,2006,43500.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
,,,,,,,,,,,,,,,,,,,
فيات 127,1982,5500.0,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,906,شغال,4+1,إمكانية التقسيط,للبيع فقط,00,"مُكيّف
مسجل CD",467,500,967,
بيجو 208,2014,54000.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,38000,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1000,2035,
بي ام دبليو x3,2015,205000.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,5+1,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,3588,4928,
اوبل كورسا,2015,65000.0,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,١٢٣٤٥٦,٤+١,إمكانية التقسيط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1138,2173,
مرسيدس C200,2014,230000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,50000,4+1,إمكانية التقسيط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,4026,5365,
,,,,,,,,,,,,,,,,,,,
فورد فيستا,2014,59000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1340,1033,2373,
,,,,,,,,,,,,,,,,,,,
نيسان باترول,2003,84000.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,4500,56000,8,إمكانية التقسيط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1471,3160,
فورد ترانزيت,2005,75000.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,460000,7+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1690,1313,3003,
بيجو 206+,2012,39000.0,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1000,2035,
سكودا فابيا,2016,73000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,45000,4+1,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1278,2313,
فيات 1998,1998,30000.0,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000,4+1,إمكانية التقسيط,للبيع أو التبديل,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",670,500,1170,
سكودا فابيا,2012,55000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,,,نقدا فقط,للبيع فقط,,"مُكيّف
مسجل CD
جنطات مغنيسيوم",1035,1000,2035,
,,,,,,,,,,,,,,,,,,,
كيا برايد,2014,66000.0,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1400,79000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1155,2190,
بيجو بارتنر,2011,55000.0,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,000,,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1340,1000,2340,
فولكسفاجن كادي,2014,100000.0,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150 الف,6+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
مسجل CD",1340,1751,3090,
هوندا اكورد,1997,2600.0,ذهبي,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1800,210000,4+١,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",670,500,1170,
اوبل اسكونا,1967,1800.0,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1200,1,4+1,إمكانية التقسيط,للبيع فقط,2,"مسجل CD
جنطات مغنيسيوم",517,500,1017,
,,,,,,,,,,,,,,,,,,,
هونداي سانتافيه,2008,77000.0,أزرق سماوي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,20000,6+1,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
فرش جلد
وسادة حماية هوائية",1690,1348,3038,
,,,,,,,,,,,,,,,,,,,
هونداي الانترا,1999,20000.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,00000000000000000,4+1,نقدا فقط,للبيع فقط,ثالثة,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",670,500,1170,
هونداي i30,2010,61000.0,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,113000,4+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1068,2408,
فورد فيستا,2014,47000.0,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,33000,4+1,نقدا فقط,للتبديل فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1035,1000,2035,
هونداي توسان,2014,93000.0,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1628,2968,
سكودا رابيد,2014,71000.0,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,غير منمر استيراد الماني,"مُكيّف
جهاز إنذار
مسجل CD",1340,1243,2583,
,,,,,,,,,,,,,,,,,,,
هونداي i40,2011,110000.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1926,3265,
سكودا اوكتافيا,2014,90000.0,عدة الوان,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم",1340,1576,2915,
كيا فورتي,2011,67000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,"122,000",4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1173,2513,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
اوبل كاديت,1982,17500.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1300,00000000000000,4+1,نقدا فقط,للبيع فقط,00,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم",517,500,1017,
هونداي اكسنت,2016,67000.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,22000,4+1,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1173,2208,
فولكسفاجن بولو,2012,60000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1035,1050,2085,
فولكسفاجن كادي,2011,95000.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,6+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1663,3003,
دايو لانوس,1999,30000.0,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1500,,4+1,نقدا فقط,للبيع فقط,3,,517,500,1017,
فولكسفاجن كادي,2012,115000.0,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150000,6+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2013,3353,
هونداي توسان,2014,109000.0,فيراني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,29000,4+1,إمكانية التقسيط,للبيع أو التبديل,غير منمرة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1340,1908,3248,
هونداي افانتي,2006,42000.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,123457,,إمكانية التقسيط,للبيع أو التبديل,2,,1340,1000,2340,
فولكسفاجن توران,2011,85000.0,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٢٥٠٠٠٠,٧,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1488,2828,
شفروليه اوبترا,2006,32500.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,4+1,نقدا فقط,للبيع أو التبديل,3,"إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1340,1000,2340,
اوبل كورسا,2003,33500.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,122000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1000,2035,
فولكسفاجن توران,2012,97000.0,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,6+1,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1698,3038,
هونداي توسان,2010,85000.0,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1488,2828,
فورد فيستا,2012,45000.0,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,78000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1035,1000,2035,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
دايو رايسر,1996,21000.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,00000,4+1,إمكانية التقسيط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",517,500,1017,
رينو R9,1983,11000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1100,,,إمكانية التقسيط,للبيع أو التبديل,,"مسجل CD
جنطات مغنيسيوم
فرش جلد",517,500,1017,
فورد ترانزيت,2000,45000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,"7,+ 1",نقدا فقط,للبيع أو التبديل,,"مسجل CD
وسادة حماية هوائية",845,500,1345,
مرسيدس فيتو,1999,20000.0,رصاصي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",670,500,1170,
اوبل كورسا,2015,56500.0,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,22000,5+1,نقدا فقط,للبيع فقط,أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1000,2035,
جييب شيروكي,2003,85000.0,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3700,130000,4+1,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1488,3178,
رينو R9,1982,10000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1235,,,نقدا فقط,للبيع فقط,٨,,517,500,1017,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
اوبل كورسا,2013,51900.0,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1000,2035,
فولكسفاجن كرافيل,2008,75000.0,برتقالي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,7:1,نقدا فقط,للبيع فقط,يد اولا,"مُكيّف
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1690,1313,3003,
هونداي جيتس,2007,40000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,900000,4+1,نقدا فقط,للبيع فقط,يد ثالثة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
سكودا اوكتافيا,2015,113000.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,7,4+1,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1978,3318,
فولكسفاجن بولو,1997,25000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,00000000,4+1,نقدا فقط,للبيع أو التبديل,يد ثالثة,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",670,500,1170,
فولكسفاجن جولف,2007,60000.0,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع فقط,ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم",1340,1050,2390,
فولكسفاجن جولف,2012,100000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,65000,4+1,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1751,2785,
سكودا اوكتافيا,2001,37000.0,أخضر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,_,4+1,نقدا فقط,للبيع فقط,يد سادسة,"مُكيّف
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد",670,500,1170,
فولكسفاجن باسات,2010,85000.0,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,190,4+1,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1488,2828,
فولكسفاجن ترانسبورتر,1999,37000.0,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2400,,1+7,إمكانية التقسيط,للبيع أو التبديل,,"مسجل CD
فرش جلد",845,500,1345,
اوبل كاديت,1986,23000.0,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,,4+1,إمكانية التقسيط,للبيع فقط,,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم",517,500,1017,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
بيجو بارتنر,2012,69000.0,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,-,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
مسجل CD
فرش جلد
وسادة حماية هوائية",1340,1208,2548,
اوبل كاديت,1984,13000.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,184000,4+1,نقدا فقط,للبيع فقط,5,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",517,500,1017,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
اوبل اسكونا,1984,6000.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,200,5+1,نقدا فقط,للبيع فقط,5,"جنطات مغنيسيوم
فرش جلد",517,500,1017,
اوبل زافيرا,2004,45000.0,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,6+1,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
سكودا سوبيرب,2014,123999.0,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,2170,3510,
كيا بيكانتو,2015,59000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,30000,4+1,إمكانية التقسيط,للبيع أو التبديل,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",935,1033,1968,
فولكسفاجن بولو,2015,84000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1471,2505,
,,,,,,,,,,,,,,,,,,,
فورد فوكس,2002,5500.0,أبيض,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,295000,4+1,نقدا فقط,للبيع فقط,يد ثالثة,"مُكيّف
إغلاق مركزي
وسادة حماية هوائية",670,500,1170,
,,,,,,,,,,,,,,,,,,,
فولكسفاجن كادي,2015,108000.0,بني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,60000,6+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1340,1891,3230,
دايو نوبيرا,1997,22000.0,خمري,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,143212,4+1,إمكانية التقسيط,للبيع أو التبديل,9,"مُكيّف
إغلاق مركزي
مسجل CD",517,500,1017,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
بي ام دبليو X3,2014,215000.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,43000,4+1,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,3763,5103,
فورد فيستا,2013,67000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,71,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1173,2513,
,,,,,,,,,,,,,,,,,,,
شفروليه افيو,2009,45000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,160000,4+1,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1035,1000,2035,
هونداي توسان,2006,55000.0,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
دراجة نارية دراجه سييم,2016,11500.0,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,4000,,إمكانية التقسيط,للبيع أو التبديل,0,,935,1000,1935,
فولكسفاجن جولف,1982,4000.0,خمري,بنزين,تأجير,فلسطينية,عادي,الكتروني,1300,,,نقدا فقط,للبيع فقط,,,517,500,1017,
هونداي توسان,2008,66000.0,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,121000,5+1,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1155,2495,
هونداي اكسنت,2015,68000.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,9900,,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1190,2225,
,,,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,2016,95000.0,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,56000,4+1,إمكانية التقسيط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1663,3003,
رينو R9,1983,7000.0,كحلي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1100,,4+1,إمكانية التقسيط,للبيع فقط,,,517,500,1017,
بيجو بارتنر,2011,57000.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,٢٦٠,٤+١,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
بيجو 305,1984,7500.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,00000,4+1,نقدا فقط,للبيع فقط,0000,"مسجل CD
فرش جلد",517,500,1017,
ستروين كسارا,2000,1900.0,سكني,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,0000,5+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",670,500,1170,
هونداي كليك,2007,42000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,80 الف,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1035,1000,2035,
بي ام دبليو 520,1994,25000.0,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,200000,4+1,إمكانية التقسيط,للبيع فقط,5,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",670,500,1170,
هونداي i25,2014,60000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60,4+١,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1050,2085,
بيجو 307,2007,38500.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,4+1,نقدا فقط,للبيع أو التبديل,5,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,
,,,,,,,,,,,,,,,,,,,
هونداي i30,2008,55000.0,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,124000,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
فولكسفاجن CC,2010,87000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,120000قابل لزيادة,5+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1523,2863,
كيا سورينتو,2013,120000.0,فضي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2200,100000,6+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد",1690,2100,3790,
دايو ماتيز,2002,22000.0,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,800,90000,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",467,500,967,
